Word,Dimension_1,Dimension_2,Dimension_3,Dimension_4,Dimension_5,Dimension_6,Dimension_7,Dimension_8,Dimension_9,Dimension_10,Dimension_11,Dimension_12,Dimension_13,Dimension_14,Dimension_15,Dimension_16,Dimension_17,Dimension_18,Dimension_19,Dimension_20,Dimension_21,Dimension_22,Dimension_23,Dimension_24,Dimension_25,Dimension_26,Dimension_27,Dimension_28,Dimension_29,Dimension_30,Dimension_31,Dimension_32,Dimension_33,Dimension_34,Dimension_35,Dimension_36,Dimension_37,Dimension_38,Dimension_39,Dimension_40,Dimension_41,Dimension_42,Dimension_43,Dimension_44,Dimension_45,Dimension_46,Dimension_47,Dimension_48,Dimension_49,Dimension_50,Dimension_51,Dimension_52,Dimension_53,Dimension_54,Dimension_55,Dimension_56,Dimension_57,Dimension_58,Dimension_59,Dimension_60,Dimension_61,Dimension_62,Dimension_63,Dimension_64,Dimension_65,Dimension_66,Dimension_67,Dimension_68,Dimension_69,Dimension_70,Dimension_71,Dimension_72,Dimension_73,Dimension_74,Dimension_75,Dimension_76,Dimension_77,Dimension_78,Dimension_79,Dimension_80,Dimension_81,Dimension_82,Dimension_83,Dimension_84,Dimension_85,Dimension_86,Dimension_87,Dimension_88,Dimension_89,Dimension_90,Dimension_91,Dimension_92,Dimension_93,Dimension_94,Dimension_95,Dimension_96,Dimension_97,Dimension_98,Dimension_99,Dimension_100
c,0.0438721,0.16880076,0.08421305,0.17969535,0.0065856124,-0.11671581,0.19281931,0.28745517,-0.22034568,-0.22307067,0.079803444,-0.21298765,0.08377983,0.13886973,0.040641926,-0.051552635,0.29794878,0.0642223,-0.13607252,-0.40381032,0.028266074,-0.001430266,0.22230494,-0.04786028,-0.053032927,0.032875415,-0.23870078,0.1266541,-0.039577212,0.081118494,0.21174687,-0.14554907,0.0458056,-0.22100309,-0.11178503,0.07122379,0.1359463,0.034656297,-0.07362655,-0.10413109,0.054992974,-0.0879032,-0.17052221,0.113592125,-0.003555608,-0.07166286,-0.15900408,-0.11544725,0.05635067,0.11466476,0.02694826,-0.21065296,-0.10587891,-0.06230948,-0.06801385,-0.013682446,0.07983694,-0.09436118,-0.010055152,0.054812755,-0.12123196,-0.14109728,0.27175683,0.026289264,-0.20627168,0.3215449,-0.004983199,0.12827584,-0.21563779,0.04804754,0.04129226,0.23366947,0.15095891,0.074582964,0.09951558,0.045400124,0.07990977,0.129276,-0.09012052,-0.11112058,-0.24735555,-0.028072828,0.08637135,0.13729261,-0.047945995,-0.14207949,0.16492516,-0.09189414,0.08364858,0.04570557,0.1503882,0.03687892,0.030716464,-0.025679281,0.26295882,-0.018789342,0.12386755,-0.07245526,0.06274661,0.105751425
d,0.0409718,0.17524658,0.07703325,0.19451493,0.011650706,-0.121032566,0.19600917,0.29034117,-0.21073216,-0.2138247,0.074828885,-0.19634226,0.06709938,0.131743,0.040315714,-0.05784526,0.27383068,0.05261732,-0.13726585,-0.3779732,0.024323752,-0.0052375775,0.20472261,-0.046877727,-0.056815416,0.016138766,-0.23394458,0.13447452,-0.041160848,0.07373427,0.20399198,-0.14878172,0.037618328,-0.21930052,-0.113532744,0.0674898,0.13570306,0.03227296,-0.07311508,-0.10084761,0.04525435,-0.0816955,-0.15855522,0.1063852,0.00140973,-0.06672397,-0.13905607,-0.10684184,0.06355437,0.12178249,0.033944022,-0.20674267,-0.08712992,-0.056304745,-0.07301312,-0.00823651,0.08614215,-0.079132944,-0.012698568,0.051099204,-0.10620037,-0.12895924,0.26127943,0.01697485,-0.19606835,0.31123793,0.008699447,0.14030021,-0.2226374,0.052460562,0.03455361,0.22728041,0.1549686,0.06544692,0.09651114,0.040571276,0.062173683,0.14206444,-0.088542216,-0.122862235,-0.25106412,-0.020899076,0.07246246,0.12776104,-0.029728059,-0.14317474,0.15870577,-0.097824425,0.08826954,0.048775524,0.1437566,0.029680464,0.018472861,-0.02691996,0.27636185,-0.027505048,0.10230654,-0.07173015,0.055009607,0.10923913
m,0.027122144,0.16516218,0.08186504,0.18330985,0.01892645,-0.106308065,0.19405262,0.28980592,-0.20404351,-0.21870312,0.06525523,-0.21399127,0.059629638,0.1408167,0.029745188,-0.061212856,0.28705797,0.07012267,-0.13336277,-0.3802312,0.023226172,0.0030663635,0.21001163,-0.03423724,-0.042880423,0.03111873,-0.23929675,0.13901769,-0.05328078,0.08582832,0.21003146,-0.14608996,0.037447833,-0.22635874,-0.1232296,0.05848828,0.13221107,0.0307905,-0.060308196,-0.096370704,0.05506698,-0.07922798,-0.17233495,0.10293837,-0.0038686448,-0.06940951,-0.14573039,-0.11755357,0.063030824,0.12199661,0.03903506,-0.22201927,-0.097505204,-0.070327245,-0.07061988,-0.013192503,0.08867092,-0.088278174,-0.0077622323,0.063362196,-0.12084331,-0.14154418,0.2783202,0.018417034,-0.20099606,0.3183367,0.013919016,0.13351813,-0.22965868,0.055489328,0.043570943,0.23070106,0.16262797,0.05989408,0.09815374,0.035092663,0.07440156,0.13318028,-0.0958788,-0.12736268,-0.26910093,-0.031246796,0.08086057,0.14154875,-0.043634206,-0.15343855,0.17979252,-0.10549784,0.07621967,0.042196658,0.14243288,0.035013482,0.03856646,-0.043373775,0.28058603,-0.019593667,0.12729827,-0.06572658,0.064835735,0.12546082
u,0.022462118,0.18193902,0.069097765,0.19861509,0.0077192183,-0.12819465,0.20828857,0.29887947,-0.23922443,-0.23114689,0.07061189,-0.21936075,0.0597284,0.14572723,0.045220554,-0.050452594,0.30971348,0.075891204,-0.15310118,-0.41430694,0.038657974,0.011117464,0.23456755,-0.040461898,-0.03450676,0.032841224,-0.25160745,0.13193592,-0.058417913,0.089009024,0.22953807,-0.15141627,0.04967459,-0.24936642,-0.12243711,0.06663621,0.13774572,0.0490355,-0.06515554,-0.11015085,0.052693598,-0.0948869,-0.17909378,0.11597425,0.0056006676,-0.069932505,-0.17382514,-0.113176316,0.085005514,0.12478903,0.024668379,-0.22591674,-0.10803401,-0.06728963,-0.07508737,-0.005208865,0.10189016,-0.101327665,-0.022750212,0.07445256,-0.10787244,-0.13852105,0.28994462,0.025716878,-0.19907613,0.33435258,0.008829697,0.15543236,-0.23118703,0.05516851,0.044255998,0.2395791,0.16440743,0.06797633,0.11258376,0.049305946,0.080490716,0.15093994,-0.09135252,-0.14616589,-0.27160245,-0.046958927,0.09091757,0.14687361,-0.036732465,-0.15764791,0.19040017,-0.09914361,0.08937431,0.037377916,0.16155794,0.051179666,0.036128495,-0.035783987,0.28781146,-0.017984027,0.12709196,-0.08460381,0.05877588,0.13122208
p,0.039395478,0.18156902,0.07676763,0.18581441,0.021580173,-0.118098445,0.2120723,0.29931223,-0.20989151,-0.2291698,0.08438397,-0.22279726,0.06537839,0.13892786,0.028238907,-0.049850095,0.3086896,0.06225201,-0.14193866,-0.40081576,0.03932883,0.009531846,0.2204364,-0.045529876,-0.056439362,0.03187471,-0.23656178,0.13291322,-0.04506741,0.07605574,0.20704515,-0.15347762,0.03752217,-0.24057233,-0.12663004,0.061315876,0.14846496,0.043593697,-0.06901462,-0.091419175,0.066386916,-0.08621606,-0.16622892,0.11009078,0.011932352,-0.055333424,-0.16571137,-0.11726152,0.07045198,0.12391089,0.03374348,-0.21111919,-0.095507964,-0.07580984,-0.07710226,-0.019333914,0.10023233,-0.09024379,-0.018943818,0.058777813,-0.11890423,-0.1454413,0.27233395,0.024006108,-0.19258244,0.3234212,-0.0002242137,0.13399841,-0.22348943,0.04856642,0.03468532,0.22322746,0.16491437,0.06278599,0.0960097,0.02735202,0.08491366,0.14228773,-0.0855499,-0.123752885,-0.2692897,-0.035899673,0.0850477,0.12261384,-0.03722178,-0.15151444,0.1814234,-0.09371071,0.07605743,0.03327237,0.15023132,0.039861217,0.037031583,-0.028418412,0.28148803,-0.026368128,0.11672579,-0.063473426,0.053339224,0.1298796
h,0.020816123,0.16804698,0.0727466,0.1920037,0.0087147625,-0.11293449,0.1826357,0.2763487,-0.21727964,-0.20286828,0.066902906,-0.2163838,0.0641719,0.15048163,0.029705534,-0.058282167,0.28005943,0.073819995,-0.13567826,-0.37580478,0.025037095,0.008574876,0.20248671,-0.045595642,-0.048761744,0.023901636,-0.23533584,0.1402153,-0.05049195,0.06761326,0.21125887,-0.15428539,0.040290687,-0.21372668,-0.12409021,0.07365757,0.14481656,0.031395882,-0.07082313,-0.08519112,0.063280754,-0.08733756,-0.1704707,0.10942141,0.0067072012,-0.051182505,-0.15748858,-0.119745985,0.06720107,0.10321665,0.027686784,-0.2108439,-0.08615367,-0.053009067,-0.07283901,-0.002836279,0.09797704,-0.08862776,-0.005775378,0.062481735,-0.1074133,-0.13495137,0.2548739,0.01407239,-0.18284029,0.30035135,0.0023146463,0.13705625,-0.20816012,0.05961151,0.027354604,0.21622512,0.15738466,0.0577355,0.104443796,0.04444176,0.06917686,0.13362762,-0.08620232,-0.12754747,-0.26020536,-0.03660743,0.07604736,0.1330557,-0.044721443,-0.13906552,0.15849367,-0.10659293,0.08682875,0.050433617,0.13105568,0.039129514,0.025656587,-0.044092372,0.25973946,-0.01254373,0.12320104,-0.057108626,0.062673606,0.12159547
y,0.038232114,0.16730845,0.087533966,0.1999569,0.01433479,-0.120388046,0.2110314,0.3114795,-0.22740446,-0.23067114,0.074391894,-0.22686072,0.067146085,0.15503368,0.026906248,-0.048773482,0.2991172,0.06633009,-0.15740581,-0.42847103,0.04205294,0.015731597,0.22922726,-0.03787755,-0.049922265,0.037333176,-0.23459904,0.123419896,-0.05819193,0.0793803,0.21807043,-0.15572838,0.043091565,-0.24869244,-0.12158385,0.07618015,0.1471681,0.029749755,-0.081783496,-0.116793185,0.05402831,-0.09457176,-0.18088327,0.1132438,0.014780442,-0.06744849,-0.17414913,-0.11935198,0.08014568,0.12919132,0.022352245,-0.22415616,-0.101809114,-0.06443539,-0.070575,-0.008545176,0.086308435,-0.10755186,-0.02769172,0.06044686,-0.107334085,-0.13844061,0.2801627,0.02660164,-0.20207635,0.3323122,-0.01266004,0.1525113,-0.22863045,0.056091476,0.052273925,0.25118262,0.16519976,0.06261873,0.10247613,0.030640071,0.09152689,0.13737547,-0.083983414,-0.1335472,-0.263901,-0.045045454,0.07304379,0.13139391,-0.049613576,-0.15277043,0.17326322,-0.10272423,0.08057706,0.04279048,0.15849066,0.044390455,0.039816864,-0.024000384,0.28779227,-0.0118300775,0.105685554,-0.0827514,0.05548866,0.12420031
g,0.037078224,0.16980176,0.07586655,0.17719428,0.017929483,-0.12088793,0.20703943,0.28653723,-0.2199195,-0.2213898,0.06678245,-0.21365988,0.08115781,0.13567242,0.04389836,-0.064169124,0.2879146,0.062239874,-0.13164166,-0.40042552,0.038145598,0.0016556444,0.20249164,-0.04802861,-0.049331304,0.021231622,-0.2345104,0.12385697,-0.04965629,0.074695304,0.20311594,-0.14016987,0.029298507,-0.23155764,-0.11494076,0.07808699,0.12785298,0.04212025,-0.06403479,-0.1030648,0.06421865,-0.09400574,-0.16078956,0.11052027,0.008849017,-0.07004448,-0.16272528,-0.11123218,0.07085058,0.120167114,0.035997204,-0.19646288,-0.08590785,-0.06803312,-0.059081793,-0.01213667,0.090671115,-0.09173763,-0.01723026,0.060764357,-0.11364474,-0.14313605,0.25992078,0.023040144,-0.18629885,0.31472653,-0.001364802,0.14069866,-0.21461955,0.04159927,0.043059863,0.2223375,0.16139752,0.07017047,0.1037222,0.04805583,0.086892284,0.1443222,-0.0799505,-0.11458331,-0.25877717,-0.024877602,0.083763264,0.1287639,-0.029528365,-0.1422153,0.18088055,-0.09064808,0.096138105,0.045882124,0.15272768,0.043207467,0.03728445,-0.031624097,0.29334033,-0.013205361,0.109893,-0.07700623,0.06960017,0.10918576
f,0.041248202,0.15523757,0.063637555,0.1937807,0.02327762,-0.120771155,0.20085129,0.29551825,-0.22019278,-0.2182748,0.06503723,-0.20822118,0.07251051,0.14526623,0.046123616,-0.050350178,0.27441064,0.07048974,-0.12085534,-0.3538245,0.037474714,-0.006460306,0.19435862,-0.046471987,-0.030657524,0.020290226,-0.22777013,0.13328388,-0.03894388,0.06869759,0.21339558,-0.13923623,0.029698975,-0.2166482,-0.11067215,0.063569374,0.13276996,0.04428208,-0.053422607,-0.102712855,0.050039507,-0.086403094,-0.1508266,0.105959915,-0.00051050104,-0.05622864,-0.1558598,-0.10275553,0.07568735,0.10850955,0.024138719,-0.20699471,-0.098651804,-0.06333673,-0.061661188,0.0014350677,0.078270055,-0.08420169,-0.0050409967,0.05428501,-0.10444767,-0.11351596,0.26556724,0.026723556,-0.19367357,0.31077594,0.009426395,0.14190248,-0.21030883,0.05105516,0.04858119,0.21032476,0.15623938,0.06608498,0.10399607,0.031025112,0.065298304,0.13979974,-0.09387535,-0.12649794,-0.2519108,-0.033903014,0.075092286,0.13278747,-0.025554316,-0.14279018,0.16587463,-0.0897982,0.07700778,0.028960548,0.14108102,0.03237038,0.037713986,-0.020351596,0.27341428,-0.013140584,0.11408501,-0.07462372,0.062027764,0.10907413
w,0.03690279,0.16811584,0.0721958,0.19336799,0.0014091561,-0.107182436,0.2095304,0.27817518,-0.21296647,-0.21447822,0.07207086,-0.2022074,0.077056,0.14117593,0.037794493,-0.052194618,0.2904145,0.060791228,-0.14815597,-0.3802679,0.028932866,0.0123414565,0.1997181,-0.046686914,-0.048296243,0.028258527,-0.22794825,0.11849304,-0.048252016,0.08424997,0.20155111,-0.15135127,0.041889828,-0.22410528,-0.12843896,0.07536107,0.12559423,0.031182384,-0.065158226,-0.103093304,0.05267189,-0.072007835,-0.16017604,0.1103283,0.005674042,-0.056138217,-0.15896735,-0.11394382,0.073247656,0.116305135,0.013248096,-0.21043535,-0.10529166,-0.06898419,-0.06302399,0.0015782799,0.093119934,-0.088419594,-0.010329009,0.057559755,-0.10573352,-0.14084867,0.25732428,0.013579992,-0.18815617,0.31544867,-0.0069845426,0.13347042,-0.22476073,0.04782296,0.037278768,0.22637205,0.16124117,0.05580587,0.092549615,0.039809957,0.08117396,0.14272453,-0.09180597,-0.13320634,-0.26078337,-0.03811563,0.081601635,0.13250723,-0.030117355,-0.15046422,0.17068666,-0.104724415,0.08239375,0.033765048,0.1410885,0.041464653,0.022025196,-0.02358459,0.26659948,-0.024548335,0.10261188,-0.066566,0.06514782,0.12484082
v,0.030488376,0.15932506,0.0627295,0.18712954,0.017332729,-0.103010975,0.18516012,0.2681885,-0.19499137,-0.19748849,0.071259275,-0.19505714,0.0751916,0.13765913,0.041245397,-0.05518894,0.26189342,0.06712598,-0.13506147,-0.35194358,0.029755944,0.0075908964,0.18782955,-0.03257689,-0.040524077,0.017893733,-0.21499503,0.11889712,-0.054531015,0.06322583,0.20386481,-0.1484628,0.03592255,-0.20728655,-0.11506614,0.06809393,0.13006306,0.04795668,-0.05934115,-0.09184996,0.05339684,-0.08098354,-0.16279815,0.10787082,0.0020633414,-0.066971965,-0.15590587,-0.109753914,0.067324534,0.111734174,0.034253996,-0.2023024,-0.09514468,-0.06430951,-0.06980385,-0.0020411548,0.08964248,-0.08826974,-0.022493834,0.046350844,-0.10617028,-0.11807235,0.25944617,0.009622784,-0.19588484,0.30491003,-4.5645884e-05,0.12515153,-0.20112567,0.044278122,0.041209243,0.21309356,0.14021322,0.06261538,0.103638336,0.045228668,0.07193402,0.13927758,-0.09044332,-0.11882746,-0.24863578,-0.03418126,0.07589469,0.12317103,-0.042387623,-0.12811777,0.1654067,-0.09790841,0.07241985,0.04779044,0.12350529,0.0403347,0.033580184,-0.023307772,0.2666661,-0.01847117,0.113741055,-0.066095315,0.04569372,0.106082596
b,0.031502653,0.18019336,0.083834395,0.2006067,0.0079101585,-0.10599736,0.1938985,0.28829506,-0.21995184,-0.20874791,0.077463634,-0.20680897,0.081822746,0.14774048,0.03161427,-0.06140162,0.29798478,0.06495928,-0.14233407,-0.38006675,0.02767181,-0.007123029,0.21181752,-0.0412585,-0.042550046,0.03299952,-0.23761365,0.13163982,-0.041338127,0.07883331,0.22504056,-0.15217623,0.04310205,-0.23315184,-0.11176098,0.057194583,0.13320433,0.028007904,-0.06717906,-0.104575284,0.051923826,-0.08635412,-0.16356608,0.10445816,-0.004732777,-0.06795965,-0.15276524,-0.12045124,0.055059403,0.11093412,0.040720876,-0.2062442,-0.11098052,-0.06068328,-0.07890499,-0.020081943,0.08965604,-0.09124662,-0.024640799,0.045394234,-0.114678904,-0.12919456,0.25997382,0.027407128,-0.19687575,0.31625527,0.017132945,0.13797036,-0.22184533,0.0602308,0.038744166,0.22994961,0.15353054,0.063949324,0.102134004,0.030471062,0.07172779,0.14619239,-0.08221331,-0.11160259,-0.2639664,-0.042384584,0.087907024,0.13204524,-0.04750287,-0.1470758,0.17366432,-0.1033513,0.071022496,0.04553915,0.14946875,0.02691581,0.032794647,-0.040516302,0.25985646,-0.020748908,0.11536686,-0.057689402,0.048462052,0.11916699
k,0.034210656,0.17801987,0.08021097,0.20949659,0.013201301,-0.124356814,0.20483114,0.29950243,-0.2262416,-0.2298828,0.06701388,-0.22090523,0.08049155,0.15282339,0.04619729,-0.04986176,0.29272765,0.073299274,-0.13720347,-0.39801282,0.033640187,0.009538794,0.20625769,-0.034565978,-0.03674331,0.03468486,-0.24543667,0.14135091,-0.04466795,0.076161996,0.20736063,-0.14078282,0.029380431,-0.23530842,-0.11558486,0.075128116,0.1473469,0.030502895,-0.076462254,-0.088800676,0.06210967,-0.090827875,-0.1783211,0.09996418,0.00057156425,-0.068546735,-0.15622137,-0.11352029,0.0657386,0.11172442,0.042248223,-0.21805556,-0.10653205,-0.05628703,-0.06931945,0.00033899548,0.08443598,-0.098807946,-0.016850648,0.05667179,-0.120393105,-0.13798368,0.2716698,0.027528353,-0.1888835,0.3220739,-0.0013681654,0.13490209,-0.22702271,0.060320575,0.03297025,0.23046745,0.15656762,0.056682993,0.09215757,0.04508947,0.065855205,0.1402137,-0.0850989,-0.11679826,-0.2668008,-0.0312754,0.089298345,0.12568997,-0.04309968,-0.14278607,0.17882258,-0.09702421,0.09207252,0.04523322,0.14406489,0.034088064,0.02241886,-0.030380834,0.28189754,-0.029537115,0.11613841,-0.073151916,0.05970805,0.12692507
x,0.027274072,0.15697962,0.07902975,0.1754545,0.0058678826,-0.110914014,0.18069036,0.27739164,-0.20499675,-0.20669307,0.058966734,-0.2021393,0.066585466,0.14236608,0.043482065,-0.047642827,0.28457662,0.05530991,-0.11984691,-0.36641493,0.038177926,0.0031193306,0.20339939,-0.05216351,-0.054003317,0.032103453,-0.2219375,0.13381313,-0.042475943,0.07201615,0.21213192,-0.1396654,0.020084335,-0.22444299,-0.112315275,0.051030934,0.14019935,0.039576814,-0.07247781,-0.077155925,0.063304186,-0.074605756,-0.15350579,0.088749655,0.0063988427,-0.07008489,-0.1496488,-0.10606154,0.064011544,0.11032631,0.03530057,-0.19610552,-0.08246822,-0.054356802,-0.07448722,-0.00012737021,0.089921005,-0.07354088,-0.009463954,0.050842527,-0.10990941,-0.13294114,0.2503177,0.030017938,-0.18410704,0.30292216,0.010071362,0.119598486,-0.20041081,0.063652195,0.033999033,0.21542592,0.14211488,0.053111404,0.10278366,0.033763092,0.07749853,0.13569482,-0.085838616,-0.11658982,-0.2542563,-0.03381922,0.07723324,0.13145703,-0.04062466,-0.14198492,0.15453807,-0.08196931,0.0694013,0.04855126,0.1379077,0.024471194,0.025308115,-0.046018247,0.25707093,-0.010558614,0.12594089,-0.0641513,0.058552865,0.12164485
j,0.026591662,0.1717292,0.08214526,0.18840635,0.0014328999,-0.12699164,0.21006455,0.29927847,-0.22670348,-0.22795519,0.07354774,-0.20968497,0.07124216,0.14764127,0.032367926,-0.0513861,0.29658177,0.07727199,-0.15239015,-0.40205878,0.020022672,0.0010894722,0.20675616,-0.03876497,-0.056194507,0.018823713,-0.23504764,0.12872764,-0.049163762,0.069759496,0.23120257,-0.14017588,0.040952545,-0.22327758,-0.11492886,0.059921175,0.15257241,0.024810022,-0.062056996,-0.09676866,0.05282111,-0.091437496,-0.16269526,0.10259439,0.013170802,-0.076169655,-0.1484022,-0.11859993,0.07790909,0.11727035,0.04179784,-0.20639925,-0.0956602,-0.06258156,-0.06813659,-0.00064682396,0.10117175,-0.081863314,-0.006935484,0.067332864,-0.105832554,-0.14120182,0.2742923,0.02342925,-0.20396791,0.3252634,-0.004229794,0.12843347,-0.23002958,0.06932861,0.035018504,0.22758321,0.16653593,0.06692264,0.10690202,0.04486169,0.081493504,0.15099226,-0.090170175,-0.12659016,-0.25774416,-0.030695746,0.07599322,0.14772192,-0.03646377,-0.14863782,0.1715459,-0.09860867,0.09263007,0.056586005,0.14810303,0.025147641,0.031411283,-0.036805663,0.28426233,-0.031489648,0.1330489,-0.079010114,0.06845914,0.10878629
z,0.046883244,0.20290685,0.08783789,0.2202785,0.012109076,-0.13256349,0.22337076,0.34163478,-0.24698494,-0.24619977,0.07619866,-0.22815129,0.08119974,0.16474241,0.0292726,-0.0585189,0.34162372,0.082981974,-0.17366634,-0.4545614,0.027835827,0.0035376025,0.23625147,-0.05485417,-0.052809175,0.02985827,-0.2771887,0.14717963,-0.06010292,0.09703459,0.24752156,-0.16893412,0.03306963,-0.270773,-0.1355758,0.08806605,0.16500458,0.038298074,-0.07463875,-0.12415126,0.061945245,-0.10264027,-0.18674429,0.11311971,0.0010242902,-0.08425894,-0.18030547,-0.13280916,0.076638214,0.13004914,0.032943517,-0.24395275,-0.12289214,-0.07309457,-0.08105891,-0.016855475,0.090774365,-0.10999108,-0.034511514,0.06051755,-0.1146846,-0.15244438,0.30925447,0.025807692,-0.21085712,0.3635593,0.013388681,0.14347102,-0.25935286,0.04723666,0.040015746,0.24905424,0.16558485,0.067519285,0.11299481,0.036955357,0.071523376,0.16393438,-0.09640526,-0.1340995,-0.27866018,-0.031691533,0.08852001,0.15229777,-0.052863047,-0.16694751,0.19897243,-0.09579323,0.08622505,0.052002985,0.15099353,0.040071104,0.045020666,-0.040965263,0.31801996,-0.033220936,0.117159545,-0.07612073,0.058664307,0.13710865
q,0.02281714,0.16196227,0.065306954,0.19590317,0.0186985,-0.10784845,0.20422913,0.28325668,-0.2215845,-0.20083919,0.06405185,-0.19574064,0.07228948,0.13956952,0.025562238,-0.055374004,0.28841206,0.056804784,-0.1361048,-0.38263008,0.03931179,-0.000294213,0.21676251,-0.04948038,-0.05403268,0.014662234,-0.22954872,0.13676551,-0.051731348,0.085949466,0.20937297,-0.13960695,0.038096152,-0.21541157,-0.116974615,0.071855985,0.12521787,0.03844579,-0.064164,-0.09224763,0.061140567,-0.08536387,-0.16734123,0.10060597,0.005569817,-0.06424055,-0.14441432,-0.11295837,0.07685804,0.114301056,0.031375166,-0.20038283,-0.09187635,-0.06079454,-0.07229707,-0.0033581867,0.0865742,-0.0903076,-0.025864875,0.046719827,-0.105127215,-0.13719021,0.25620204,0.013628779,-0.19695157,0.30742505,0.01141269,0.13254651,-0.22173414,0.055642407,0.039297465,0.21430719,0.15316796,0.05969212,0.0929675,0.025117561,0.08030705,0.14020322,-0.087404616,-0.11791851,-0.2540728,-0.026138537,0.07624346,0.13736899,-0.038941998,-0.15385862,0.16256261,-0.08462493,0.0810908,0.04221928,0.14818992,0.028378446,0.029261189,-0.043522507,0.2636625,-0.026447618,0.11596203,-0.068324186,0.06395569,0.117320664
